track,start,horses,uid
Turf Paradise,2017-02-21 21:19:00,"{u'Shock The Clock': {'odds': u'SP', 'uid': u'3357917904'}, u'Thunder': {'odds': u'SP', 'uid': u'3357917880'}, u'Mystorynmstikntoit': {'odds': u'SP', 'uid': u'3357917954'}, u'Rebellious Diana': {'odds': u'SP', 'uid': u'3357917990'}, u'Runaway Cal': {'odds': u'SP', 'uid': u'3357917967'}, u'Da Jenius': {'odds': u'SP', 'uid': u'3357918001'}, u'La Swift': {'odds': u'SP', 'uid': u'3357917979'}, u'Evening Concerto': {'odds': u'SP', 'uid': u'3357917937'}}",5197800
Turf Paradise,2017-02-21 20:23:00,"{u'Unbridle Me Fast': {'odds': u'SP', 'uid': u'3357917874'}, u'Cecil The Cat': {'odds': u'SP', 'uid': u'3357917949'}, u'Shared Vision': {'odds': u'SP', 'uid': u'3357917894'}, u'Madera Time': {'odds': u'SP', 'uid': u'3357917927'}, u'Calvert Street': {'odds': u'SP', 'uid': u'3357917986'}, u'Doing Fine': {'odds': u'SP', 'uid': u'3357917975'}, u'Niftyshadesofgray': {'odds': u'SP', 'uid': u'3357917963'}}",5197798
Turf Paradise,2017-02-21 20:51:00,"{u'Grand Sunset': {'odds': u'SP', 'uid': u'3357917905'}, u'Porter Boy': {'odds': u'SP', 'uid': u'3357917966'}, u'Oh Brother Go': {'odds': u'SP', 'uid': u'3357917877'}, u'Significat': {'odds': u'SP', 'uid': u'3357917977'}, u'Paradise High': {'odds': u'SP', 'uid': u'3357917955'}, u'Tavern Law': {'odds': u'SP', 'uid': u'3357917991'}, u'Forever Freedom': {'odds': u'SP', 'uid': u'3357917938'}}",5197799
Sam Houston Race Park,2017-02-21 22:17:00,"{u'In A Strait Line': {'odds': u'SP', 'uid': u'3357920721'}, u'My Buddy Tex': {'odds': u'SP', 'uid': u'3357920737'}, u'Topcatmark': {'odds': u'SP', 'uid': u'3357920763'}, u""Andwe'llbeswinging"": {'odds': u'SP', 'uid': u'3357920781'}, u'Karate': {'odds': u'SP', 'uid': u'3357920709'}, u'Stanton C': {'odds': u'SP', 'uid': u'3357920678'}, u'Mr Leadbox': {'odds': u'SP', 'uid': u'3357920698'}, u'Lass Channel': {'odds': u'SP', 'uid': u'3357920687'}, u'Singing Eagle': {'odds': u'SP', 'uid': u'3357920659'}, u""Cause I'm Gold"": {'odds': u'SP', 'uid': u'3357920752'}}",5197824
Turf Paradise,2017-02-21 22:17:00,"{u'Bad Ronnie': {'odds': u'SP', 'uid': u'3357917984'}, u'Artaksez': {'odds': u'SP', 'uid': u'3357918008'}, u'Another Gear': {'odds': u'SP', 'uid': u'3357917956'}, u""Allen's Crown"": {'odds': u'SP', 'uid': u'3357917941'}, u'Lucky Moly Miner': {'odds': u'SP', 'uid': u'3357917996'}, u'First To Fight': {'odds': u'SP', 'uid': u'3357917910'}, u'Gottcha My Dear': {'odds': u'SP', 'uid': u'3357917971'}, u'Extensive': {'odds': u'SP', 'uid': u'3357918004'}, u'Zooks': {'odds': u'SP', 'uid': u'3357917881'}, u'Givajunior Mint': {'odds': u'SP', 'uid': u'3357918012'}}",5197802
Sam Houston Race Park,2017-02-21 20:50:00,"{u'Supah Selestial': {'odds': u'SP', 'uid': u'3357920728'}, u'Full Moon Wish': {'odds': u'SP', 'uid': u'3357920690'}, u'Bikini Line': {'odds': u'SP', 'uid': u'3357920714'}, u""Menhal's Lady"": {'odds': u'SP', 'uid': u'3357920701'}, u""Queen's Memories"": {'odds': u'SP', 'uid': u'3357920650'}, u'Diamond Thief': {'odds': u'SP', 'uid': u'3357920680'}, u""Dolly's Pride"": {'odds': u'SP', 'uid': u'3357920664'}}",5197821
Sam Houston Race Park,2017-02-21 21:48:00,"{u'Dark Desert Wine': {'odds': u'SP', 'uid': u'3357920682'}, u'Velvet Sami': {'odds': u'SP', 'uid': u'3357920758'}, u'Customary': {'odds': u'SP', 'uid': u'3357920774'}, u'Shesahuckleberry': {'odds': u'SP', 'uid': u'3357920729'}, u'C. G. Reliance': {'odds': u'SP', 'uid': u'3357920715'}, u'Ostentatious': {'odds': u'SP', 'uid': u'3357920704'}, u'Killer Fast': {'odds': u'SP', 'uid': u'3357920693'}, u'Camana Bay': {'odds': u'SP', 'uid': u'3357920656'}, u'Sweet Cyd': {'odds': u'SP', 'uid': u'3357920670'}, u'Slew Of The Night': {'odds': u'SP', 'uid': u'3357920744'}}",5197823
Sam Houston Race Park,2017-02-21 21:19:00,"{u'Sweetbaby': {'odds': u'SP', 'uid': u'3357920712'}, u'Venus De Milo': {'odds': u'SP', 'uid': u'3357920787'}, u'Indypendent Deputy': {'odds': u'SP', 'uid': u'3357920652'}, u'Just Leave': {'odds': u'SP', 'uid': u'3357920727'}, u""Mimi's Money"": {'odds': u'SP', 'uid': u'3357920773'}, u'Bella Joy': {'odds': u'SP', 'uid': u'3357920741'}, u""Ella's Glory"": {'odds': u'SP', 'uid': u'3357920683'}, u'Tiz Madness': {'odds': u'SP', 'uid': u'3357920692'}, u'Dagny': {'odds': u'SP', 'uid': u'3357920757'}, u'Majestic Angel': {'odds': u'SP', 'uid': u'3357920702'}, u'K One Spirit': {'odds': u'SP', 'uid': u'3357920796'}, u'Cactus Needles': {'odds': u'SP', 'uid': u'3357920662'}}",5197822
Taunton,2017-02-21 16:50:00,"{u'Court In Session': {'odds': u'28/1 ', 'uid': u'3358227871'}, u""Lamb's Cross"": {'odds': u'33/1 ', 'uid': u'3358227586'}, u'Ballytober': {'odds': u'7/2 ', 'uid': u'3358227564'}, u'Anglingforcharlie': {'odds': u'22/1 ', 'uid': u'3358227766'}, u'Parkam Jack': {'odds': u'16/1 ', 'uid': u'3358227681'}, u'Monsieur Gibraltar': {'odds': u'4/6', 'uid': u'3358227967'}, u'Delta Borget': {'odds': u'9/2 ', 'uid': u'3358227538'}}",5198003
Taunton,2017-02-21 16:20:00,"{u'Workbench': {'odds': u'25/1 ', 'uid': u'3358227562'}, u'Work In Progress': {'odds': u'16/1 ', 'uid': u'3358227535'}, u'Top Tug': {'odds': u'5/2 ', 'uid': u'3358227465'}, u'Mr Kit Cat': {'odds': u'10/1 ', 'uid': u'3358227583'}, u'Whipcord': {'odds': u'20/1 ', 'uid': u'3358227672'}, u'Bertimont': {'odds': u'4/1 ', 'uid': u'3358227319'}, u'Tommy Silver': {'odds': u'9/4 ', 'uid': u'3358227366'}, u'Bobble Emerald': {'odds': u'25/1 ', 'uid': u'3358227745'}, u'Sizing Granite': {'odds': u'7/1 ', 'uid': u'3358227296'}, u'Star Foot': {'odds': u'33/1 ', 'uid': u'3358227826'}}",5198000
Taunton,2017-02-21 14:50:00,"{u'Flow With Eve': {'odds': u'25/1 ', 'uid': u'3358227137'}, u'Distant Sound': {'odds': u'8/1 ', 'uid': u'3358227363'}, u'Master Burbidge': {'odds': u'5/2 ', 'uid': u'3358227108'}, u'Tactical Manoeuvre': {'odds': u'20/1 ', 'uid': u'3358227321'}, u'Laoch Beag': {'odds': u'20/1 ', 'uid': u'3358227123'}, u'Drive On Locky': {'odds': u'8/1 ', 'uid': u'3358227116'}, u'Thundering Home': {'odds': u'20/1 ', 'uid': u'3358227236'}, u'Lake Shore Drive': {'odds': u'4/1 ', 'uid': u'3358227075'}, u'Definite Ridge': {'odds': u'13/2 ', 'uid': u'3358227545'}, u'Without Frontier': {'odds': u'10/1 ', 'uid': u'3358227180'}, u'Just When': {'odds': u'33/1 ', 'uid': u'3358227291'}, u'New Vennture': {'odds': u'14/1 ', 'uid': u'3358227100'}, u'Anythingmayhappen': {'odds': u'25/1 ', 'uid': u'3358227163'}, u'Gilly Grace': {'odds': u'33/1 ', 'uid': u'3358227200'}, u'Karl Marx': {'odds': u'28/1 ', 'uid': u'3358227601'}, u'All But Grey': {'odds': u'25/1 ', 'uid': u'3358227569'}, u'Big Diamond': {'odds': u'33/1 ', 'uid': u'3358227466'}}",5197994
Taunton,2017-02-21 15:20:00,"{u'Timetobenefit': {'odds': u'66/1 ', 'uid': u'3358227430'}, u'Midnight Glory': {'odds': u'7/1 ', 'uid': u'3358227148'}, u'Mylyny': {'odds': u'100/1 ', 'uid': u'3358227547'}, u'Whatduhavtoget': {'odds': u'4/1 ', 'uid': u'3358227187'}, u'Squeaky': {'odds': u'50/1 ', 'uid': u'3358227308'}, u'Sapphire Noire': {'odds': u'100/1 ', 'uid': u'3358227567'}, u'Little Acorn': {'odds': u'10/1 ', 'uid': u'3358227224'}, u'Verdana Blue': {'odds': u'5/4 ', 'uid': u'3358227165'}, u'Dites Rien': {'odds': u'50/1 ', 'uid': u'3358227202'}, u'Theatre Royale': {'odds': u'100/1 ', 'uid': u'3358227333'}, u'Cajun Fiddle': {'odds': u'9/4 ', 'uid': u'3358227128'}, u'Vitarra': {'odds': u'100/1 ', 'uid': u'3358227524'}, u'Spy In The Sky': {'odds': u'40/1 ', 'uid': u'3358227284'}}",5197996
Taunton,2017-02-21 15:50:00,"{u'Danvinnie': {'odds': u'14/1 ', 'uid': u'3358227418'}, u'Somerset Lias': {'odds': u'12/1 ', 'uid': u'3358227529'}, u'Heroes Or Ghosts': {'odds': u'15/2 ', 'uid': u'3358227331'}, u'Gold Mountain': {'odds': u'9/1 ', 'uid': u'3358227300'}, u'Zanstra': {'odds': u'7/1 ', 'uid': u'3358227172'}, u'Towering': {'odds': u'5/4 ', 'uid': u'3358227184'}, u'Bells Of Ailsworth': {'odds': u'13/2 ', 'uid': u'3358227196'}, u'Handsome Sam': {'odds': u'13/2 ', 'uid': u'3358227227'}}",5197998
Taunton,2017-02-21 14:20:00,"{u'Bel Esprit': {'odds': u'10/1 ', 'uid': u'3358226993'}, u'Barra Hooley': {'odds': u'25/1 ', 'uid': u'3358227110'}, u""Sweet'n'chic"": {'odds': u'12/1 ', 'uid': u'3358227122'}, u""Amour D'or"": {'odds': u'33/1 ', 'uid': u'3358226961'}, u'River Dun': {'odds': u'33/1 ', 'uid': u'3358226955'}, u'Avithos': {'odds': u'15/2 ', 'uid': u'3358227051'}, u'Oscar Jane': {'odds': u'13/2 ', 'uid': u'3358226946'}, u'Gold Bonne Raine': {'odds': u'6/1 ', 'uid': u'3358227020'}, u'Perfect Timing': {'odds': u'33/1 ', 'uid': u'3358227191'}, u'Hija': {'odds': u'14/1 ', 'uid': u'3358227167'}, u'Viking Mistress': {'odds': u'9/1 ', 'uid': u'3358226979'}, u'Beautiful People': {'odds': u'12/1 ', 'uid': u'3358226967'}, u'Lady Cardinal': {'odds': u'33/1 ', 'uid': u'3358227102'}, u""Margaret's Rose"": {'odds': u'11/2 ', 'uid': u'3358227079'}, u'Monet Moor': {'odds': u'25/1 ', 'uid': u'3358227141'}, u'Actlikeacountess': {'odds': u'4/1 ', 'uid': u'3358226987'}, u'Cautious Kate': {'odds': u'33/1 ', 'uid': u'3358226973'}}",5197992
Southwell,2017-02-21 15:40:00,"{u'Archimedes': {'odds': u'7/1 ', 'uid': u'3358204266'}, u'Dungannon': {'odds': u'4/1 ', 'uid': u'3358204156'}, u'Lady Nayef': {'odds': u'4/1 ', 'uid': u'3358204141'}, u'Crosse Fire': {'odds': u'11/1 ', 'uid': u'3358204257'}, u'Escalating': {'odds': u'7/2 ', 'uid': u'3358204243'}, u'Orient Class': {'odds': u'20/1 ', 'uid': u'3358204231'}, u'Captain Lars': {'odds': u'4/1 ', 'uid': u'3358204200'}, u'Wentworth Falls': {'odds': u'8/1 ', 'uid': u'3358204124'}}",5197986
Southwell,2017-02-21 16:40:00,"{u'Port Lairge': {'odds': u'50/1 ', 'uid': u'3358204303'}, u'Noguchi': {'odds': u'12/1 ', 'uid': u'3358204248'}, u'Go On Gal': {'odds': u'13/2 ', 'uid': u'3358204316'}, u'My Renaissance': {'odds': u'13/8 ', 'uid': u'3358204260'}, u'Indulgent': {'odds': u'80/1 ', 'uid': u'3358204320'}, u'Sattelac': {'odds': u'14/1 ', 'uid': u'3358204281'}, u'The Lock Master': {'odds': u'11/1 ', 'uid': u'3358204270'}, u'Sennockian Song': {'odds': u'11/2 ', 'uid': u'3358204310'}, u'Horseguardsparade': {'odds': u'15/2 ', 'uid': u'3358204234'}, u'Ralphy Lad': {'odds': u'4/1 ', 'uid': u'3358204295'}}",5197988
Wetherby,2017-02-21 17:00:00,"{u'Doctor Thea': {'odds': u'50/1 ', 'uid': u'3358228041'}, u'Donnachies Girl': {'odds': u'40/1 ', 'uid': u'3358228048'}, u'Our Belle Amie': {'odds': u'15/2 ', 'uid': u'3358227684'}, u'Raennavich': {'odds': u'25/1 ', 'uid': u'3358227923'}, u'Side Of The Road': {'odds': u'50/1 ', 'uid': u'3358228023'}, u'Irish Fashion': {'odds': u'33/1 ', 'uid': u'3358227582'}, u'Harrisons Promise': {'odds': u'6/1 ', 'uid': u'3358227560'}, u'Redemption Song': {'odds': u'2/1 ', 'uid': u'3358228003'}, u'Samba Time': {'odds': u'40/1 ', 'uid': u'3358228015'}, u'Westello': {'odds': u'40/1 ', 'uid': u'3358228030'}, u'Cockley Beck': {'odds': u'13/2 ', 'uid': u'3358227536'}, u'Questionation': {'odds': u'5/2 ', 'uid': u'3358227790'}, u'Birch Vale': {'odds': u'8/1 ', 'uid': u'3358227459'}}",5198002
Southwell,2017-02-21 14:40:00,"{u'Dibloam': {'odds': u'80/1 ', 'uid': u'3358204075'}, u'Finale': {'odds': u'7/2 ', 'uid': u'3358204117'}, u'Touch Of Faith': {'odds': u'80/1 ', 'uid': u'3358204112'}, u'Elegantly Bound': {'odds': u'5/2 ', 'uid': u'3358204090'}, u'Tewafeedj': {'odds': u'9/1 ', 'uid': u'3358204105'}, u'Billys Connoisseur': {'odds': u'100/1 ', 'uid': u'3358204046'}, u'Native Prospect': {'odds': u'9/10', 'uid': u'3358204099'}}",5197984
Southwell,2017-02-21 16:10:00,"{u'Kyllach Me': {'odds': u'7/1 ', 'uid': u'3358204230'}, u'Very First Blade': {'odds': u'15/2 ', 'uid': u'3358204273'}, u'Name That Toon': {'odds': u'25/1 ', 'uid': u'3358204314'}, u'Llewellyn': {'odds': u'11/1 ', 'uid': u'3358204202'}, u'Cadeaux Pearl': {'odds': u'18/1 ', 'uid': u'3358204322'}, u'Multi Quest': {'odds': u'18/1 ', 'uid': u'3358204261'}, u'Prince Of Time': {'odds': u'9/1 ', 'uid': u'3358204307'}, u'Wimboldsley': {'odds': u'8/1 ', 'uid': u'3358204300'}, u'Vivre La Reve': {'odds': u'25/1 ', 'uid': u'3358204291'}, u'Bounty Pursuit': {'odds': u'7/4 ', 'uid': u'3358204174'}, u'Culloden': {'odds': u'50/1 ', 'uid': u'3358204245'}, u'Autumn Tonic': {'odds': u'6/1 ', 'uid': u'3358204282'}, u""Gettin' Lucky"": {'odds': u'16/1 ', 'uid': u'3358204325'}}",5197987
Southwell,2017-02-21 14:10:00,"{u'Our Lois': {'odds': u'7/1 ', 'uid': u'3358204101'}, u'Bo Selecta': {'odds': u'15/8 ', 'uid': u'3358204019'}, u'Log Off': {'odds': u'4/1 ', 'uid': u'3358204033'}, u'Panther In Pink': {'odds': u'33/1 ', 'uid': u'3358204133'}, u'Kyllachys Tale': {'odds': u'16/1 ', 'uid': u'3358204078'}, u'Stag Party': {'odds': u'12/1 ', 'uid': u'3358204122'}, u'Diamond Princess': {'odds': u'22/1 ', 'uid': u'3358204204'}, u'Mungo Madness': {'odds': u'25/1 ', 'uid': u'3358204061'}, u'Sublime': {'odds': u'25/1 ', 'uid': u'3358204144'}, u'Too Many Shots': {'odds': u'11/2 ', 'uid': u'3358204044'}, u'Albizu Campos': {'odds': u'28/1 ', 'uid': u'3358204092'}, u'Medici Moon': {'odds': u'12/1 ', 'uid': u'3358204109'}, u'Hazell Berry': {'odds': u'12/1 ', 'uid': u'3358204162'}}",5197983
Southwell,2017-02-21 15:10:00,"{u'Boots And Spurs': {'odds': u'10/1 ', 'uid': u'3358204225'}, u'Ticks The Boxes': {'odds': u'9/1 ', 'uid': u'3358204108'}, u'Dusky Dawn': {'odds': u'6/1 ', 'uid': u'3358204118'}, u'Unnoticed': {'odds': u'7/1 ', 'uid': u'3358204280'}, u'Essenaitch': {'odds': u'12/1 ', 'uid': u'3358204252'}, u'Pullman Brown': {'odds': u'20/1 ', 'uid': u'3358204267'}, u'Among Angels': {'odds': u'18/1 ', 'uid': u'3358204127'}, u'Custard The Dragon': {'odds': u'11/4 ', 'uid': u'3358204136'}, u'Stun Gun': {'odds': u'22/1 ', 'uid': u'3358204289'}, u'Alpha Tauri': {'odds': u'9/1 ', 'uid': u'3358204143'}, u'Harwoods Star': {'odds': u'11/1 ', 'uid': u'3358204239'}, u'Vroom': {'odds': u'13/2 ', 'uid': u'3358204165'}, u'Showing Off': {'odds': u'40/1 ', 'uid': u'3358204297'}}",5197985
Wetherby,2017-02-21 14:30:00,"{u""Massini's Lady"": {'odds': u'8/1 ', 'uid': u'3358227134'}, u'Money Maid': {'odds': u'11/2 ', 'uid': u'3358226988'}, u'Frank N Fair': {'odds': u'14/1 ', 'uid': u'3358227099'}, u'Shy': {'odds': u'33/1 ', 'uid': u'3358227111'}, u'Mollyanna': {'odds': u'8/1 ', 'uid': u'3358227013'}, u'Chasma': {'odds': u'10/1 ', 'uid': u'3358227045'}, u""Lilly's Legend"": {'odds': u'20/1 ', 'uid': u'3358227153'}, u'Top And Drop': {'odds': u'15/8 ', 'uid': u'3358226965'}, u'Aces Over Eights': {'odds': u'3/1 ', 'uid': u'3358226978'}}",5197993
Wetherby,2017-02-21 15:30:00,"{u'Oscatara': {'odds': u'13/2 ', 'uid': u'3358227170'}, u""Plaisir D'amour"": {'odds': u'11/2 ', 'uid': u'3358227149'}, u'Unzing': {'odds': u'3/1 ', 'uid': u'3358227186'}, u'Groomed': {'odds': u'11/1 ', 'uid': u'3358227334'}, u'Chestnut Ben': {'odds': u'4/1 ', 'uid': u'3358227312'}, u'Witness': {'odds': u'14/1 ', 'uid': u'3358227293'}, u'Grey Life': {'odds': u'20/1 ', 'uid': u'3358227201'}, u'Lightening Rod': {'odds': u'3/1 ', 'uid': u'3358227246'}}",5197997
Wetherby,2017-02-21 16:30:00,"{u'Attimo': {'odds': u'10/1 ', 'uid': u'3358227576'}, u'Swing Hard': {'odds': u'16/1 ', 'uid': u'3358227818'}, u'Dreamsoftheatre': {'odds': u'12/1 ', 'uid': u'3358227514'}, u'Sharney Sike': {'odds': u'9/2 ', 'uid': u'3358227537'}, u'Allez Cool': {'odds': u'20/1 ', 'uid': u'3358227720'}, u'Fill The Power': {'odds': u'9/1 ', 'uid': u'3358227340'}, u'Thedrinkymeister': {'odds': u'7/1 ', 'uid': u'3358227315'}, u'Scarlet Fire': {'odds': u'7/2 ', 'uid': u'3358227554'}, u""Suzy's Music"": {'odds': u'9/2 ', 'uid': u'3358227935'}, u""Oscar O'scar"": {'odds': u'9/1 ', 'uid': u'3358227425'}, u'Shanroe Street': {'odds': u'16/1 ', 'uid': u'3358227622'}}",5198001
Wetherby,2017-02-21 16:00:00,"{u'Quarry Wizard': {'odds': u'20/1 ', 'uid': u'3358227815'}, u'The Game Is A Foot': {'odds': u'4/1 ', 'uid': u'3358227915'}, u'Next Edition': {'odds': u'14/1 ', 'uid': u'3358227580'}, u'Being Global': {'odds': u'22/1 ', 'uid': u'3358227542'}, u'Cheque En Blanc': {'odds': u'12/1 ', 'uid': u'3358227436'}, u'Citrus': {'odds': u'12/1 ', 'uid': u'3358227322'}, u'Buckontupence': {'odds': u'7/1 ', 'uid': u'3358227301'}, u'Politbureau': {'odds': u'50/1 ', 'uid': u'3358228022'}, u'Apachee Prince': {'odds': u'40/1 ', 'uid': u'3358227561'}, u'I Know The Code': {'odds': u'50/1 ', 'uid': u'3358228046'}, u'Aengus': {'odds': u'17/2 ', 'uid': u'3358227255'}, u'Sthenic': {'odds': u'40/1 ', 'uid': u'3358228029'}, u'Torero': {'odds': u'33/1 ', 'uid': u'3358228038'}, u'Grays Choice': {'odds': u'16/1 ', 'uid': u'3358227999'}, u'Milan Express': {'odds': u'9/2 ', 'uid': u'3358227341'}, u'Mortens Leam': {'odds': u'14/1 ', 'uid': u'3358227523'}, u""Derrick D'anjou"": {'odds': u'22/1 ', 'uid': u'3358227652'}, u'Modulus': {'odds': u'5/1 ', 'uid': u'3358227736'}, u'Simmply Sam': {'odds': u'16/1 ', 'uid': u'3358228013'}}",5197999
Wetherby,2017-02-21 15:00:00,"{u'Eaton Hill': {'odds': u'2/1 ', 'uid': u'3358227115'}, u""Tommy O'dwyer"": {'odds': u'18/1 ', 'uid': u'3358227307'}, u'Blakolive': {'odds': u'80/1 ', 'uid': u'3358227326'}, u'Lady London': {'odds': u'100/1 ', 'uid': u'3358227491'}, u'Ebony Rose': {'odds': u'66/1 ', 'uid': u'3358227382'}, u'Rich Man Poor Man': {'odds': u'200/1 ', 'uid': u'3358227539'}, u'Jerrysback': {'odds': u'4/7 ', 'uid': u'3358227127'}, u'Strike West': {'odds': u'33/1 ', 'uid': u'3358227215'}, u'Suggestion': {'odds': u'80/1 ', 'uid': u'3358227292'}, u'Robertson': {'odds': u'33/1 ', 'uid': u'3358227181'}, u'Plus One': {'odds': u'15/2 ', 'uid': u'3358227142'}}",5197995
